label,tokenizer_key,stage3_ab_mode,stage2_resolution_source,stage2_profile,stage2_mode,hybrid_ab_stage1_override_used,hybrid_ab_stage2_override_used,k_star_syntax,sum_baseline_tokens,sum_after_syntax_tokens,sum_after_stage2_tokens,sum_after_stage3_tokens,sum_replacement_sequence_saved,stage1_vocab_intro_tokens,stage3_vocab_intro_tokens,sum_effective_total_tokens,sum_stage3_ab_a_sequence_saved,sum_stage3_ab_b_sequence_saved,sum_stage3_ab_a_intro_tokens,sum_stage3_ab_b_intro_tokens,telemetry_sum_stage2_seq,telemetry_sum_stage3_seq,telemetry_sum_realized_delta,telemetry_guardrail_triggered_nfiles,telemetry_sum_aliases_rolled_back,sequence_reduction_pct,effective_total_reduction_pct,syntax_pct,cleaning_pct,replacement_pct
gpt4_hybrid_ab_exact_only_legacy_s12,gpt4,exact_only,explicit,stage2_aggressive,linewise,True,False,22,130101,128899,117321,113828,3493,349,1536,115713,7178,0,1536,0,122261,114428,7833,0,0,12.507975,11.059100,0.923898,8.899240,2.684837
gpt4_hybrid_ab_exact_only_aggressive_s12,gpt4,exact_only,hybrid_ab_default,stage2_hybrid_ab_aggressive,blockwise,True,True,22,130101,128899,111919,109246,2673,349,1130,110725,6209,0,1130,0,116859,110036,6823,0,0,16.029854,14.893045,0.923898,13.051399,2.054558
gpt4_hybrid_ab_hybrid_aggressive_s12,gpt4,hybrid,hybrid_ab_default,stage2_hybrid_ab_aggressive,blockwise,True,True,22,130101,128899,111919,109188,2731,349,1171,110708,6209,64,1130,41,116859,109978,6881,0,0,16.074434,14.906111,0.923898,13.051399,2.099138
gpt2_hybrid_ab_exact_only_aggressive_s12,gpt2,exact_only,hybrid_ab_default,stage2_hybrid_ab_aggressive,blockwise,True,True,35,252915,244128,173755,171150,2605,574,2666,174390,8325,0,2666,0,180217,172173,8044,0,0,32.329043,31.047981,3.474290,27.824763,1.029990
