hybrid_meta_keys,old_delta_true,old_hybrid_after_true,old_hybrid_before_true,rewrite_a_net,rewrite_after_true,rewrite_b_net,rewrite_before_true,rewrite_delta_true,source_id
"a_candidates_rejected_alias_conflict,a_candidates_rejected_context_rescore_negative,a_candidates_rejected_gain_non_positive,a_candidates_rejected_min_occ,a_candidates_rejected_raw_too_short,a_candidat",21,18,39,9,15,0,39,24,hand_a
"a_candidates_rejected_alias_conflict,a_candidates_rejected_context_rescore_negative,a_candidates_rejected_gain_non_positive,a_candidates_rejected_min_occ,a_candidates_rejected_raw_too_short,a_candidat",21,22,43,0,39,33,43,4,hand_b
"a_candidates_rejected_alias_conflict,a_candidates_rejected_context_rescore_negative,a_candidates_rejected_gain_non_positive,a_candidates_rejected_min_occ,a_candidates_rejected_raw_too_short,a_candidat",0,19,19,0,17,0,19,2,hand_route
