tokenizer_key,n_files,baseline_tokens,syntax_tokens,cleaning_tokens,final_tokens,syntax_saved,cleaning_saved,replacement_saved,total_saved,reduction_pct,syntax_pct,cleaning_pct,replacement_pct,baseline_bpb,final_bpb,baseline_entropy,V0,k_star_syntax,n_replacement_words,paper_display_name,vocab_source
codebert,301,1002719,980023,640100,515466,22696,339923,124634,487253,48.593175,2.263446,33.900126,12.429604,7.134286,3.667510,7.052674,50265,59,6434,CodeBERT,Code
gpt2,301,1002719,980023,640100,515466,22696,339923,124634,487253,48.593175,2.263446,33.900126,12.429604,7.134181,3.667456,7.052674,50257,59,6434,GPT-2,Web
codellama,301,704587,697446,641051,510281,7141,56395,130770,194306,27.577290,1.013502,8.003980,18.559809,4.804202,3.479334,9.189042,32016,29,6326,CodeLlama,Web
deepseek-coder,301,699738,691930,638180,507059,7808,53750,131121,192679,27.535878,1.115846,7.681446,18.738585,4.770910,3.457198,9.172197,32000,45,6374,DeepSeek-Coder,Web
codegen,301,689052,680828,635042,510358,8224,45786,124684,178694,25.933311,1.193524,6.644782,18.095006,4.902492,3.631114,9.409999,50257,48,6413,CodeGen,Web
codex,301,689052,680828,635042,510358,8224,45786,124684,178694,25.933311,1.193524,6.644782,18.095006,4.902492,3.631114,9.409999,50257,48,6413,Codex,Web
santacoder,301,593452,587926,584390,478856,5526,3536,105534,114596,19.310071,0.931162,0.595836,17.783073,4.213642,3.399985,9.663594,49152,45,5954,SantaCoder,Code
gpt-3.5,301,521319,516445,472548,405062,4874,43897,67486,116257,22.300549,0.934936,8.420372,12.945241,3.945794,3.065860,10.831070,100277,45,6136,GPT-3.5,Web
gpt4,301,521319,516445,472548,405062,4874,43897,67486,116257,22.300549,0.934936,8.420372,12.945241,3.945794,3.065860,10.831070,100277,45,6136,GPT-4,Web
