tokenizer_key,n_files,baseline_tokens,syntax_tokens,cleaning_tokens,final_tokens,syntax_saved,cleaning_saved,replacement_saved,total_saved,reduction_pct,syntax_pct,cleaning_pct,replacement_pct,baseline_bpb,final_bpb,baseline_entropy,V0,k_star_syntax,n_replacement_words
gpt4,301,521319,516445,472548,405062,4874,43897,67486,116257,22.300549,0.934936,8.420372,12.945241,3.945794,3.065860,10.831070,100277,45,6136
gpt2,301,1002719,980023,640100,515466,22696,339923,124634,487253,48.593175,2.263446,33.900126,12.429604,7.134181,3.667456,7.052674,50257,59,6434
codegen-350M-mono,301,689052,680828,635042,510358,8224,45786,124684,178694,25.933311,1.193524,6.644782,18.095006,4.902492,3.631114,9.409999,50257,48,6413
santacoder,301,593452,587926,584390,478856,5526,3536,105534,114596,19.310071,0.931162,0.595836,17.783073,4.213642,3.399985,9.663594,49152,45,5954
