after_s2_before_true,b_hdbscan_noise_points,b_hdbscan_noise_singleton_residual,clustering_backend_note,fast_after_true,fast_delta_true,fast_effective_total_reduction_pct,frozen_index,hdbscan_actually_used,hdbscan_runtime_available,old_after_true,old_delta_true,old_effective_total_reduction_pct,rewrite_a_intro_true,rewrite_a_net_true,rewrite_a_saved_true,rewrite_after_true,rewrite_b_intro_true,rewrite_b_net_true,rewrite_b_saved_true,rewrite_delta_true,rewrite_effective_total_reduction_pct,rewrite_net_true,route_initial_comments,route_initial_delete_now,route_initial_docstrings,route_initial_reference,route_initial_retain_for_b,route_profile,source_id
193,0,0,,193,0,0.000000,33,,,193,0,0.000000,0,0,0,193,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:33
520,0,0,,520,0,0.000000,34,,,520,0,0.000000,0,0,0,520,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:34
41,0,0,,41,0,0.000000,35,,,41,0,0.000000,0,0,0,41,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:35
2934,0,0,,2897,37,1.261077,36,,,2889,45,1.533742,0,0,0,2934,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:36
178,0,0,,178,0,0.000000,37,,,178,0,0.000000,0,0,0,178,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:37
334,0,0,,334,0,0.000000,38,,,334,0,0.000000,0,0,0,334,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:38
441,0,0,,441,0,0.000000,39,,,441,0,0.000000,0,0,0,441,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:39
1593,0,0,,1593,0,0.000000,40,,,1593,0,0.000000,0,0,0,1593,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:40
245,0,0,,245,0,0.000000,41,,,245,0,0.000000,0,0,0,245,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:41
1814,0,0,,1790,24,1.323043,42,,,1755,59,3.252481,0,0,0,1814,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:42
484,0,0,,484,0,0.000000,43,,,484,0,0.000000,0,0,0,484,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:43
160,0,0,,152,8,5.000000,44,,,152,8,5.000000,0,0,0,160,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:44
175,0,0,,165,10,5.714286,45,,,165,10,5.714286,0,0,0,175,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:45
857,0,0,,801,56,6.534422,46,,,801,56,6.534422,0,0,0,857,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:46
202,0,0,,202,0,0.000000,47,,,202,0,0.000000,0,0,0,202,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:47
556,0,0,,556,0,0.000000,48,,,525,31,5.575540,0,0,0,556,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:48
673,0,0,,673,0,0.000000,49,,,673,0,0.000000,0,0,0,673,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:49
30,0,0,,30,0,0.000000,50,,,30,0,0.000000,0,0,0,30,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:50
31158,1,1,lexical_jaccard_fallback_explicit,30568,590,1.893575,51,False,False,30070,1088,3.491880,0,0,0,31158,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:51
3439,0,0,,3439,0,0.000000,52,,,3439,0,0.000000,0,0,0,3439,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:52
124,0,0,,124,0,0.000000,53,,,124,0,0.000000,0,0,0,124,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:53
250,1,1,lexical_jaccard_fallback_explicit,238,12,4.800000,54,False,False,238,12,4.800000,0,0,0,250,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:54
77,0,0,,77,0,0.000000,55,,,77,0,0.000000,0,0,0,77,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:55
419,0,0,,407,12,2.863962,56,,,407,12,2.863962,0,0,0,419,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:56
244,0,0,,244,0,0.000000,57,,,244,0,0.000000,0,0,0,244,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:57
60,0,0,,60,0,0.000000,58,,,60,0,0.000000,0,0,0,60,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:58
1118,0,0,,1118,0,0.000000,59,,,1118,0,0.000000,0,0,0,1118,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:59
